Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-07-15,3L_W24B STOPE,44.0,2.07,0.09108,70.0,1.8271028037383175,0.12789719626168222
2025-07-15,4L_W26 STOPE,54.0,0.37,0.01998,70.0,1.9462616822429906,0.13623831775700931
2025-07-15,5L_W11 STOPE,52.0,1.57,0.08164,70.0,1.7476635514018692,0.12233644859813084
2025-07-15,5L_W8 STOPE,99.0,2.15,0.21284999999999998,70.0,1.6682242990654204,0.11677570093457942
2025-07-15,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-15,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-15,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-15,6L_W15_STOPE,66.0,2.68,0.37520000000000003,70.0,1.7476635514018692,0.12233644859813084
2025-07-15,6L_W18_STOPE,,0.26,0.01716,,,
2025-07-15,6L_W2 STOPE,184.0,,0.12144,105.0,,0.24189252336448594
2025-07-15,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-15,6L_W4 STOPE,68.0,2.57,0.17476,70.0,2.3831775700934577,0.16682242990654203
2025-07-15,6L_W8 STOPE,106.0,3.16,0.33496000000000004,35.0,2.462616822429906,0.08619158878504672
2025-07-16,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-16,3L_W23A STOPE,94.0,1.26,0.11844,70.0,1.9859813084112148,0.13901869158878502
2025-07-16,3L_W23B STOPE,91.0,4.21,0.38311,70.0,1.9859813084112148,0.13901869158878502
2025-07-16,3L_W24B STOPE,60.0,2.07,0.12419999999999999,70.0,1.8271028037383175,0.12789719626168222
2025-07-16,4L_W26 STOPE,0,2.31,0.12012,70.0,1.9462616822429906,0.13623831775700931
2025-07-16,5L_W11 STOPE,46.0,1.94,0.08924,70.0,1.7476635514018692,0.12233644859813084
2025-07-16,5L_W8 STOPE,68.0,1.61,0.10948000000000001,70.0,1.6682242990654204,0.11677570093457942
2025-07-16,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-16,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-16,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-16,6L_W15_STOPE,39.0,1.47,0.18081,70.0,1.7476635514018692,0.12233644859813084
2025-07-16,6L_W18_STOPE,,1.23,0.04797,,,
2025-07-16,6L_W2 STOPE,72.0,,0.2304,105.0,,0.24189252336448594
2025-07-16,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-16,6L_W4 STOPE,121.0,2.57,0.31096999999999997,70.0,2.3831775700934577,0.16682242990654203
2025-07-16,6L_W8 STOPE,111.0,4.92,0.54612,35.0,2.462616822429906,0.08619158878504672
2025-07-17,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-17,3L_W23A STOPE,88.0,1.58,0.13904000000000002,70.0,1.9859813084112148,0.13901869158878502
2025-07-17,3L_W23B STOPE,95.0,0.8,0.076,70.0,1.9859813084112148,0.13901869158878502
2025-07-17,3L_W24B STOPE,,,,70.0,1.8271028037383175,0.12789719626168222
2025-07-17,4L_W26 STOPE,104.0,5.78,0.60112,70.0,1.9462616822429906,0.13623831775700931
2025-07-17,5L_W11 STOPE,50.0,1.23,0.0615,70.0,1.7476635514018692,0.12233644859813084
2025-07-17,5L_W8 STOPE,88.0,2.77,0.24376,70.0,1.6682242990654204,0.11677570093457942
2025-07-17,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-17,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-17,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-17,6L_W15_STOPE,37.0,3.72,0.43152,70.0,1.7476635514018692,0.12233644859813084
2025-07-17,6L_W18_STOPE,,2.36,0.08732,,,
2025-07-17,6L_W2 STOPE,148.0,,0.71484,105.0,,0.24189252336448594
2025-07-17,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-17,6L_W4 STOPE,117.0,3.79,0.44343,70.0,2.3831775700934577,0.16682242990654203
2025-07-17,6L_W8 STOPE,78.0,2.69,0.20982,35.0,2.462616822429906,0.08619158878504672
2025-07-18,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-18,3L_W23A STOPE,85.0,,,70.0,1.9859813084112148,0.13901869158878502
2025-07-18,3L_W23B STOPE,78.0,,,70.0,1.9859813084112148,0.13901869158878502
2025-07-18,3L_W24B STOPE,,,,70.0,1.8271028037383175,0.12789719626168222
2025-07-18,4L_W26 STOPE,78.0,,,70.0,1.9462616822429906,0.13623831775700931
2025-07-18,5L_W11 STOPE,79.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-18,5L_W8 STOPE,86.0,0.82,0.07052,70.0,1.6682242990654204,0.11677570093457942
2025-07-18,6L_E1 STOPE,38.0,5.0,0.19,70.0,3.137850467289719,0.21964953271028034
2025-07-18,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-18,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-18,6L_W15_STOPE,39.0,3.6,0.24120000000000003,70.0,1.7476635514018692,0.12233644859813084
2025-07-18,6L_W18_STOPE,,5.0,0.195,,,
2025-07-18,6L_W2 STOPE,147.0,,0.21315,105.0,,0.24189252336448594
2025-07-18,6L_W3 STOPE,136.0,5.0,0.68,70.0,2.9,0.203
2025-07-18,6L_W4 STOPE,,,,70.0,2.3831775700934577,0.16682242990654203
2025-07-18,6L_W8 STOPE,98.0,4.57,0.44786000000000004,35.0,2.462616822429906,0.08619158878504672
2025-07-19,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-19,3L_W23A STOPE,44.0,0.78,0.03432,70.0,1.9859813084112148,0.13901869158878502
2025-07-19,3L_W23B STOPE,88.0,2.32,0.20416,70.0,1.9859813084112148,0.13901869158878502
2025-07-19,3L_W24B STOPE,,,,70.0,1.8271028037383175,0.12789719626168222
2025-07-19,4L_W26 STOPE,87.0,0.56,0.048720000000000006,70.0,1.9462616822429906,0.13623831775700931
2025-07-19,5L_W11 STOPE,96.0,0.43,0.041280000000000004,70.0,1.7476635514018692,0.12233644859813084
2025-07-19,5L_W8 STOPE,88.0,1.25,0.11,70.0,1.6682242990654204,0.11677570093457942
2025-07-19,6L_E1 STOPE,34.0,3.03,0.10302,70.0,3.137850467289719,0.21964953271028034
2025-07-19,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-19,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-19,6L_W15_STOPE,35.0,0.72,0.0828,70.0,1.7476635514018692,0.12233644859813084
