DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,is_qaqc,ID
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,FDUP,,,0.0,MM905290,3.77,5.955555555555556,,,,True,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,1,2.0,1.0,MM905291,6.74,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,2,3.0,1.0,MM905292,4.93,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W15,A,SBL2,SCH,4.2,West,W15A_OP,,0,1.0,1.0,MM967188,1.47,0.9325,,,,False,6L_W15_A_SBL2_West
2025-08-02,6L,W15,A,SBL2,SCH,4.2,West,W15A_OP,,1,2.0,1.0,MM967189,0.74,0.9325,,,,False,6L_W15_A_SBL2_West
2025-08-02,6L,W15,A,SBL2,SCH,4.2,West,W15A_OP,FDUP,,,0.0,MM967190,0.44,0.9325,,,,True,6L_W15_A_SBL2_West
2025-08-02,6L,W15,A,SBL2,SCH,4.2,West,W15A_OP,,2,3.0,1.0,MM967191,0.34,0.9325,,,,False,6L_W15_A_SBL2_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,,0,1.0,1.0,MM967192,0.58,0.9325,,,,False,6L_W15_A_SBL1_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,,1,2.0,1.0,MM967193,0.6,0.9325,,,,False,6L_W15_A_SBL1_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,,2,3.0,1.0,MM967194,1.02,0.9325,,,,False,6L_W15_A_SBL1_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,STD 0925 1.04g/t,,,0.0,MM967195,0.68,0.9325,,,,True,6L_W15_A_SBL1_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,,3,4.0,1.0,MM967196,0.45,0.9325,,,,False,6L_W15_A_SBL1_West
2025-08-02,6L,W15,A,SBL1,FLCH,2.6,West,W15A_OP,,4,4.6,0.5999999999999996,MM967197,2.26,0.9325,,,,False,6L_W15_A_SBL1_West
2025-08-03,6L,W18,B,CON-DRV,GRABS,1.2,East,W18B_OP,,0,1.0,1.0,MM905293,0.85,1.5315,,,,False,6L_W18_B_CON-DRV_East
2025-08-03,6L,W18,B,CON-DRV,GRABS,1.2,East,W18B_OP,,1,2.0,1.0,MM905294,0.52,1.5315,,,,False,6L_W18_B_CON-DRV_East
2025-08-03,6L,W18,B,CON-DRV,GRABS,1.2,East,W18B_OP,BLANK UGHLG004857,,,0.0,MM905295,1.71,1.5315,,,,True,6L_W18_B_CON-DRV_East
2025-08-03,6L,W18,B,CON-DRV,GRABS,1.2,East,W18B_OP,,2,3.0,1.0,MM905296,2.99,1.5315,,,,False,6L_W18_B_CON-DRV_East
