Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-12,3L_W23B STOPE,,1.91,0.0,0.0,0.0,0.0
2025-08-12,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-12,4L_W26 STOPE,258.0,3.37,0.86946,0.0,0.0,0.0
2025-08-12,5L_W11 STOPE,33.0,1.97,0.06501,0.0,0.0,0.0
2025-08-12,5L_W8 STOPE,154.0,2.17,0.33418000000000003,0.0,0.0,0.0
2025-08-12,6L_E1 STOPE,35.0,7.0,0.245,0.0,0.0,0.0
2025-08-12,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-12,6L_W13 STOPE,45.0,2.12,0.09540000000000001,0.0,0.0,0.0
2025-08-12,6L_W15_STOPE,28.0,1.34,0.037520000000000005,0.0,0.0,0.0
2025-08-12,6L_W18_STOPE,15.0,4.07,0.06105000000000001,0.0,0.0,0.0
2025-08-12,6L_W2 STOPE,116.0,4.57,0.53012,0.0,0.0,0.0
2025-08-12,6L_W3 STOPE,130.0,2.23,0.2899,0.0,0.0,0.0
2025-08-12,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-12,6L_W8 STOPE,,,0.0,0.0,0.0,0.0
2025-08-13,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-13,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-13,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-13,4L_W26 STOPE,258.0,2.68,0.69144,70.0,1.9462616822429906,0.13623831775700931
2025-08-13,5L_W11 STOPE,72.0,2.78,0.20016,70.0,1.7476635514018692,0.12233644859813084
2025-08-13,5L_W8 STOPE,108.0,3.59,0.38771999999999995,105.0,1.8271028037383175,0.19184579439252333
2025-08-13,6L_E1 STOPE,24.0,3.5,0.084,35.0,3.137850467289719,0.10982476635514017
2025-08-13,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-13,6L_W13 STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-13,6L_W15_STOPE,,,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-13,6L_W18_STOPE,,,0.0,70.0,2.7803738317757007,0.19462616822429904
2025-08-13,6L_W2 STOPE,254.0,1.59,0.40386,140.0,2.542056074766355,0.3558878504672897
2025-08-13,6L_W3 STOPE,94.5,2.23,0.21073499999999998,105.0,2.3831775700934577,0.25023364485981303
2025-08-13,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
